Year,Month,MeanTemp,AirFrost,Rainfall
2010,1,1.2,18.1,67.2
2010,2,2.6,15.5,73.6
2010,3,5.9,10.0,58.8
2010,4,8.7,2.7,24.5
2010,5,10.5,1.7,29.5
2010,6,15.0,0.0,36.4
2010,7,17.1,0.0,61.0
2010,8,15.3,0.0,97.3
2010,9,13.7,0.0,78.5
2010,10,10.2,2.1,73.1
2010,11,5.1,9.8,91.5
2010,12,-0.5,23.7,35.1
2011,1,3.6,13.4,78.6
2011,2,6.1,3.0,77.9
2011,3,6.5,7.4,19.3
2011,4,11.5,0.2,11.6
2011,5,12.0,0.5,48.3
2011,6,13.9,0.0,69.9
2011,7,15.1,0.0,59.4
2011,8,15.3,0.0,78.2
2011,9,15.0,0.0,54.3
2011,10,12.3,0.3,62.8
2011,11,9.3,0.9,48.7
2011,12,5.6,5.5,103.8
2012,1,5.3,8.9,63.9
2012,2,3.9,13.2,29.9
2012,3,8.0,2.5,26.4
2012,4,7.1,4.5,136.5
2012,5,11.5,0.7,54.0
2012,6,13.4,0.0,148.2
2012,7,15.2,0.0,113.6
2012,8,16.4,0.0,89.5
2012,9,12.9,0.1,88.5
2012,10,9.3,1.3,107.1
2012,11,6.4,4.9,119.4
2012,12,4.6,10.2,148.9
2013,1,3.4,14.4,79.1
2013,2,2.9,14.0,42.0
2013,3,2.6,18.0,65.6
2013,4,7.2,8.0,31.4
2013,5,10.2,0.6,71.3
2013,6,13.6,0.0,35.6
2013,7,18.0,0.0,55.1
2013,8,16.8,0.0,58.8
2013,9,13.7,0.0,52.9
2013,10,12.2,0.0,136.6
2013,11,6.1,5.4,66.6
2013,12,6.0,2.9,117.8
2014,1,5.4,4.7,159.9
2014,2,6.0,1.7,123.2
2014,3,7.4,4.5,49.1
2014,4,9.9,0.7,53.1
2014,5,12.1,0.4,95.7
2014,6,15.0,0.0,46.3
2014,7,17.5,0.0,51.6
2014,8,15.0,0.0,107.4
2014,9,14.8,0.0,15.0
2014,10,12.2,0.1,102.7
2014,11,8.3,2.3,104.4
2014,12,5.0,10.8,74.5
2015,1,4.3,11.4,91.5
2015,2,3.9,10.8,52.5
2015,3,6.2,5.1,48.4
2015,4,8.9,1.9,25.7
