Month,Region,Type,Total Attendances,Admitted Attendances,Delays >12hrs (count),12hr %
2023-02,East of England,T1,268775.0,66175.0,27795.0,1.986
2023-02,London,T1,433775.0,80060.0,49860.0,2.669
2023-02,Midlands,T1,462405.0,136690.0,52180.0,3.568
2023-02,North East and Yorkshire,T1,410925.0,109595.0,28250.0,1.719
2023-02,North West,T1,351840.0,75695.0,45835.0,2.953
2023-02,South East,T1,350185.0,67615.0,30720.0,2.1189999999999998
2023-02,South West,T1,204650.0,36640.0,22505.0,2.407
2023-03,East of England,T1,307720.0,76005.0,32935.0,2.069
2023-03,London,T1,484740.0,89325.0,51865.0,2.45
2023-03,Midlands,T1,518350.0,152555.0,60025.0,3.696
2023-03,North East and Yorkshire,T1,466725.0,123240.0,33160.0,1.746
2023-03,North West,T1,405720.0,85110.0,54955.0,3.133
2023-03,South East,T1,400320.0,70290.0,35850.0,2.15
2023-03,South West,T1,230880.0,40305.0,25060.0,2.364
2023-04,East of England,T1,282100.0,71970.0,21240.0,1.441
2023-04,London,T1,432110.0,87795.0,37145.0,1.994
2023-04,Midlands,T1,480855.0,143145.0,42455.0,2.825
2023-04,North East and Yorkshire,T1,413850.0,111880.0,18670.0,1.096
2023-04,North West,T1,361495.0,73970.0,40740.0,2.566
2023-04,South East,T1,344790.0,63630.0,21720.0,1.425
2023-04,South West,T1,221485.0,37780.0,17885.0,1.7389999999999999
2023-05,East of England,T1,310295.0,76500.0,23495.0,1.477
2023-05,London,T1,464780.0,89315.0,42210.0,2.137
2023-05,Midlands,T1,513785.0,146165.0,51590.0,3.1109999999999998
2023-05,North East and Yorkshire,T1,456195.0,119620.0,20775.0,1.084
2023-05,North West,T1,396625.0,81335.0,43740.0,2.543
2023-05,South East,T1,384995.0,68920.0,25250.0,1.465
2023-05,South West,T1,246815.0,39730.0,19210.0,1.667
2023-06,East of England,T1,310255.0,74125.0,23190.0,1.441
2023-06,London,T1,436505.0,79610.0,37765.0,1.937
2023-06,Midlands,T1,524595.0,149250.0,49760.0,2.9979999999999998
2023-06,North East and Yorkshire,T1,446610.0,115525.0,18720.0,0.999
2023-06,North West,T1,364785.0,78070.0,37895.0,2.218
2023-06,South East,T1,382745.0,63095.0,22485.0,1.323
2023-06,South West,T1,243595.0,45945.0,17320.0,1.558
2023-07,East of England,T1,311355.0,74625.0,20025.0,1.246
2023-07,London,T1,430140.0,81155.0,31810.0,1.674
2023-07,Midlands,T1,515860.0,151300.0,49500.0,3.01
2023-07,North East and Yorkshire,T1,450565.0,118375.0,16695.0,0.881
2023-07,North West,T1,359080.0,62060.0,39395.0,2.177
2023-07,South East,T1,382090.0,64080.0,21125.0,1.2710000000000001
2023-07,South West,T1,241450.0,47315.0,13935.0,1.291
2023-08,East of England,T1,299115.0,73550.0,25100.0,1.673
2023-08,London,T1,393695.0,73205.0,35245.0,1.881
2023-08,Midlands,T1,435395.0,128880.0,44885.0,2.68
2023-08,North East and Yorkshire,T1,399230.0,112480.0,19425.0,1.041
2023-08,North West,T1,310810.0,50780.0,36915.0,2.252
2023-08,South East,T1,323510.0,56585.0,21760.0,1.383
2023-08,South West,T1,243260.0,46720.0,16485.0,1.478
2023-09,East of England,T1,300405.0,74045.0,25020.0,1.673
2023-09,London,T1,458560.0,78565.0,47250.0,2.397
2023-09,Midlands,T1,501445.0,144125.0,58865.0,3.589
