Month,Region,Total_Attendances,Type1_Attendances,Type2_Attendances,Other_Attendances,Over_4hr_Waits,Over_12hr_Waits,Emergency_Admissions
2019-04,NHS ENGLAND EAST OF ENGLAND (EAST),190972,144887,0,46085,30153,13,44012
2019-04,NHS ENGLAND LONDON,427759,232695,17111,177953,55774,61,65819
2019-04,NHS ENGLAND MIDLANDS (CENTRAL MIDLANDS),81454,48565,2881,30008,14447,0,13716
2019-04,NHS ENGLAND MIDLANDS (NORTH MIDLANDS),118762,74620,2221,41921,22917,26,24221
2019-04,NHS ENGLAND MIDLANDS (WEST MIDLANDS),193728,121998,3310,68420,34435,99,36944
2019-04,NHS ENGLAND NORTH EAST AND YORKSHIRE (CUMBRIA AND NORTH EAST),128756,73834,3973,50949,10745,0,24411
2019-04,NHS ENGLAND NORTH EAST AND YORKSHIRE (YORKSHIRE AND HUMBER),194199,146270,1793,46136,27816,24,38902
2019-04,NHS ENGLAND NORTH WEST (CHESHIRE AND MERSEYSIDE),111980,69870,1540,40570,19021,20,23674
2019-04,NHS ENGLAND NORTH WEST (GREATER MANCHESTER),133117,87539,3648,41930,20966,43,25906
2019-04,NHS ENGLAND NORTH WEST (LANCASHIRE AND SOUTH CUMBRIA),61876,29365,367,32144,11067,94,10999
2019-04,"NHS ENGLAND SOUTH EAST (HAMPSHIRE, ISLE OF WIGHT AND THAMES VALLEY)",126604,80416,7068,39120,19234,8,27165
2019-04,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",155308,106322,1206,47780,20340,14,31804
2019-04,NHS ENGLAND SOUTH WEST (SOUTH WEST NORTH),80907,52276,2493,26138,12705,26,17361
2019-04,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),106743,62168,1670,42905,14561,14,20505
2019-05,NHS ENGLAND EAST OF ENGLAND (EAST),198161,149136,0,49025,23394,3,44947
2019-05,NHS ENGLAND LONDON,439380,237699,17721,183960,48672,96,66743
2019-05,NHS ENGLAND MIDLANDS (CENTRAL MIDLANDS),85199,50671,2897,31631,12825,0,14203
2019-05,NHS ENGLAND MIDLANDS (NORTH MIDLANDS),120516,76154,2261,42101,15590,7,23887
2019-05,NHS ENGLAND MIDLANDS (WEST MIDLANDS),187607,122213,3348,62046,30642,68,37540
2019-05,NHS ENGLAND NORTH EAST AND YORKSHIRE (CUMBRIA AND NORTH EAST),132719,76689,4101,51929,11231,0,25042
2019-05,NHS ENGLAND NORTH EAST AND YORKSHIRE (YORKSHIRE AND HUMBER),203256,148977,1847,52432,20591,26,39391
