Month,Total_Attendances,Type1_Attendances,Type2_Attendances,Other_Attendances,Over_4hr_Waits,Over_12hr_Waits,Emergency_Admissions,NEL_YTD_Growth,A&E near me,Accident,Ambulance,emergency symptoms,Flu Symptoms,hospital waiting times,NHS 111,stroke,flu_positivity,covid_positivity,gp_lrt_infection,nhs111_ari,ed_covid_like,ed_respiratory,gp_ari,MeanTemp,AirFrost,Rainfall,E07b - Under 75 mortality rate from respiratory disease considered preventable,E04b - Under 75 mortality rate from cardiovascular disease considered preventable,E05b - Under 75 mortality rate from cancer considered preventable,C18 - Smoking Prevalence in adults (aged 18 and over) - current smokers (APS),E15 - Estimated dementia diagnosis rate (aged 65 and older),C24a - Cancer screening coverage: breast cancer,D10 - Adjusted antibiotic prescribing in primary care by the NHS,Supporting information - % population aged 65+,Population,Type,Total Attendances,Admitted Attendances,Delays >12hrs (count),12hr %,age_0_4_years,age_0_4_years_delayed,age_15_24_years,age_15_24_years_delayed,age_25_44_years,age_25_44_years_delayed,age_45_64_years,age_45_64_years_delayed,age_5_14_years,age_5_14_years_delayed,age_65_79_years,age_65_79_years_delayed,age_80_years,age_80_years_delayed,age_null_unknown,age_null_unknown_delayed,age_total_attendances,age_total_attendances_delayed,chief_complaint_airway_breathing,chief_complaint_airway_breathing_delayed,chief_complaint_circulation_chest,chief_complaint_circulation_chest_delayed,chief_complaint_environmental,chief_complaint_environmental_delayed,chief_complaint_eye,chief_complaint_eye_delayed,chief_complaint_gastrointestinal,chief_complaint_gastrointestinal_delayed,chief_complaint_general_minor_admin,chief_complaint_general_minor_admin_delayed,chief_complaint_genitourinary,chief_complaint_genitourinary_delayed,chief_complaint_head_and_neck,chief_complaint_head_and_neck_delayed,chief_complaint_neurological,chief_complaint_neurological_delayed,chief_complaint_null_unknown,chief_complaint_null_unknown_delayed,chief_complaint_obgyn,chief_complaint_obgyn_delayed,chief_complaint_psychosocial_behaviour_change,chief_complaint_psychosocial_behaviour_change_delayed,chief_complaint_skin,chief_complaint_skin_delayed,chief_complaint_total_attendances,chief_complaint_total_attendances_delayed,chief_complaint_trauma_musculoskeletal,chief_complaint_trauma_musculoskeletal_delayed,ethnicity_any_asian_background,ethnicity_any_asian_background_delayed,ethnicity_any_black_background,ethnicity_any_black_background_delayed,ethnicity_any_mixed_background,ethnicity_any_mixed_background_delayed,ethnicity_any_other_ethnic_group,ethnicity_any_other_ethnic_group_delayed,ethnicity_any_white_background,ethnicity_any_white_background_delayed,ethnicity_not_stated,ethnicity_not_stated_delayed,ethnicity_null_unknown,ethnicity_null_unknown_delayed,ethnicity_total_attendances,ethnicity_total_attendances_delayed,gender_female,gender_female_delayed,gender_indeterminate,gender_indeterminate_delayed,gender_male,gender_male_delayed,gender_null_unknown,gender_null_unknown_delayed,gender_total_attendances,gender_total_attendances_delayed,Total_Attendances_lag1,Total_Attendances_lag2,Total_Attendances_lag3,Type1_Attendances_lag1,Type1_Attendances_lag2,Type1_Attendances_lag3,Over_4hr_Waits_lag1,Over_4hr_Waits_lag2,Over_4hr_Waits_lag3,Over_12hr_Waits_lag1,Over_12hr_Waits_lag2,Over_12hr_Waits_lag3,Emergency_Admissions_lag1,Emergency_Admissions_lag2,Emergency_Admissions_lag3,flu_positivity_lag1,flu_positivity_lag2,flu_positivity_lag3,MeanTemp_lag1,MeanTemp_lag2,MeanTemp_lag3,Total_Attendances_roll3_mean,Total_Attendances_roll3_std,Over_4hr_Waits_roll3_mean,Over_4hr_Waits_roll3_std,Emergency_Admissions_roll3_mean,Emergency_Admissions_roll3_std,Month_Num,Quarter,Is_Winter,Is_Holiday_Month,Is_Financial_Year_End
2019-07-01,2265050,1415918,52418,796714,275515,452,415693,0.036469,61,84,71,51,11,37,5,71,415.8709677419355,3108.322580645161,5846.179122807018,16.1255,93.8716129032258,9.565666666666663,7.923833333333333,17.5,0.0,70.5,21.0816514887029,28.226379417017977,53.99868615728582,13.379032062588712,68.7,74.35545648931046,0.945818103692509,18.23470507936508,2086779.6851851847,T1,1241285.0,286240.0,128580.0,0.104,0.1091530148193203,0.0724042761319172,0.1146150964524665,0.0629017607602012,0.2358563907563532,0.1687395192845165,0.1970377471732922,0.2021205980994969,0.0948734577474149,0.0429185299049748,0.1388681890138042,0.2224007825600894,0.1095920759535481,0.2285145332588038,0.0,0.0,1241285.0,286240.0,0.0912320765007824,0.1518518518518518,0.1169634164368618,0.1310938845822566,0.0060556322987445,0.0063565891472868,0.0465590449635795,0.0069767441860465,0.1134054775946702,0.1294056847545219,0.100835452974549,0.1503531438415159,0.0305636121744715,0.0345908699397071,0.0448463408790861,0.03099052540913,0.0768474011244717,0.0954694229112833,0.0591545562516247,0.0820327304048234,0.0142266580351817,0.0183634797588285,0.0215566237301267,0.0208957795004306,0.0527166239340201,0.0295607235142118,980905.0,290250.0,0.2250421804354142,0.1120757967269595,0.0785623167836716,0.0640674198925727,0.0424090359969925,0.0343767364326727,0.0212340860514822,0.0137247638451565,0.0426033403451859,0.0304130394517503,0.7026087470748748,0.7583997036488238,0.0730119708374517,0.0684015558436747,0.0395662789027717,0.0306167808853491,1183710.0,269950.0,0.5132624659123408,0.5205072666294019,0.0011198072964709,0.0013100894354387,0.4852390869139641,0.4780429010620458,0.0003746117934237,0.0001397428731134,1241285.0,286240.0,2107987.0,2172006.0,2112165.0,1334137.0,1369332.0,1330825.0,258582.0,261465.0,314181.0,462.0,416.0,442.0,398670.0,412841.0,405439.0,332.2,127.09677419354838,146.4,14.2,11.0,8.8,2181681.0,78977.2164044796,265187.3333333333,9059.439625789968,409068.0,9117.142041232,7,3,0,0,0
2019-08-01,2125435,1324070,48786,752579,262730,371,399953,0.036469,72,83,62,48,11,38,5,57,256.4516129032258,2242.3548387096776,5846.179122807018,16.1255,44.23467741935484,9.565666666666663,7.923833333333333,17.0,0.0,83.7,21.0816514887029,28.226379417017977,53.99868615728582,13.379032062588712,68.7,74.35545648931046,0.945818103692509,18.23470507936508,2086779.6851851847,T1,1241285.0,286240.0,128580.0,0.104,0.1091530148193203,0.0724042761319172,0.1146150964524665,0.0629017607602012,0.2358563907563532,0.1687395192845165,0.1970377471732922,0.2021205980994969,0.0948734577474149,0.0429185299049748,0.1388681890138042,0.2224007825600894,0.1095920759535481,0.2285145332588038,0.0,0.0,1241285.0,286240.0,0.0912320765007824,0.1518518518518518,0.1169634164368618,0.1310938845822566,0.0060556322987445,0.0063565891472868,0.0465590449635795,0.0069767441860465,0.1134054775946702,0.1294056847545219,0.100835452974549,0.1503531438415159,0.0305636121744715,0.0345908699397071,0.0448463408790861,0.03099052540913,0.0768474011244717,0.0954694229112833,0.0591545562516247,0.0820327304048234,0.0142266580351817,0.0183634797588285,0.0215566237301267,0.0208957795004306,0.0527166239340201,0.0295607235142118,980905.0,290250.0,0.2250421804354142,0.1120757967269595,0.0785623167836716,0.0640674198925727,0.0424090359969925,0.0343767364326727,0.0212340860514822,0.0137247638451565,0.0426033403451859,0.0304130394517503,0.7026087470748748,0.7583997036488238,0.0730119708374517,0.0684015558436747,0.0395662789027717,0.0306167808853491,1183710.0,269950.0,0.5132624659123408,0.5205072666294019,0.0011198072964709,0.0013100894354387,0.4852390869139641,0.4780429010620458,0.0003746117934237,0.0001397428731134,1241285.0,286240.0,2265050.0,2107987.0,2172006.0,1415918.0,1334137.0,1369332.0,275515.0,258582.0,261465.0,452.0,462.0,416.0,415693.0,398670.0,412841.0,415.8709677419355,332.2,127.09677419354838,17.5,14.2,11.0,2166157.3333333335,86086.74588072974,265609.0,8825.990199405402,404772.0,9479.59403139185,8,3,0,0,0
2019-09-01,2123345,1342510,48217,732618,282197,458,399724,0.036469,65,86,66,41,18,38,6,51,304.8666666666667,2143.733333333333,5846.179122807018,16.1255,52.22133333333333,9.565666666666663,7.923833333333333,14.1,0.0,113.5,21.0816514887029,28.226379417017977,53.99868615728582,13.379032062588712,68.7,74.35545648931046,0.945818103692509,18.23470507936508,2086779.6851851847,T1,1241285.0,286240.0,128580.0,0.104,0.1091530148193203,0.0724042761319172,0.1146150964524665,0.0629017607602012,0.2358563907563532,0.1687395192845165,0.1970377471732922,0.2021205980994969,0.0948734577474149,0.0429185299049748,0.1388681890138042,0.2224007825600894,0.1095920759535481,0.2285145332588038,0.0,0.0,1241285.0,286240.0,0.0912320765007824,0.1518518518518518,0.1169634164368618,0.1310938845822566,0.0060556322987445,0.0063565891472868,0.0465590449635795,0.0069767441860465,0.1134054775946702,0.1294056847545219,0.100835452974549,0.1503531438415159,0.0305636121744715,0.0345908699397071,0.0448463408790861,0.03099052540913,0.0768474011244717,0.0954694229112833,0.0591545562516247,0.0820327304048234,0.0142266580351817,0.0183634797588285,0.0215566237301267,0.0208957795004306,0.0527166239340201,0.0295607235142118,980905.0,290250.0,0.2250421804354142,0.1120757967269595,0.0785623167836716,0.0640674198925727,0.0424090359969925,0.0343767364326727,0.0212340860514822,0.0137247638451565,0.0426033403451859,0.0304130394517503,0.7026087470748748,0.7583997036488238,0.0730119708374517,0.0684015558436747,0.0395662789027717,0.0306167808853491,1183710.0,269950.0,0.5132624659123408,0.5205072666294019,0.0011198072964709,0.0013100894354387,0.4852390869139641,0.4780429010620458,0.0003746117934237,0.0001397428731134,1241285.0,286240.0,2125435.0,2265050.0,2107987.0,1324070.0,1415918.0,1334137.0,262730.0,275515.0,258582.0,371.0,452.0,462.0,399953.0,415693.0,398670.0,256.4516129032258,415.8709677419355,332.2,17.0,17.5,14.2,2171276.6666666665,81216.81204241722,273480.6666666667,9891.6584217882,405123.3333333333,9154.315940218212,9,3,0,0,0
2019-10-01,2170885,1376347,50391,744147,320025,725,421106,0.036469,60,100,66,46,26,37,6,50,383.483870967742,3060.3870967741937,5846.179122807018,16.1255,58.60354838709677,9.565666666666663,7.923833333333333,10.0,0.8,128.0,21.0816514887029,28.226379417017977,53.99868615728582,13.379032062588712,68.7,74.35545648931046,0.945818103692509,18.23470507936508,2086779.6851851847,T1,1241285.0,286240.0,128580.0,0.104,0.1091530148193203,0.0724042761319172,0.1146150964524665,0.0629017607602012,0.2358563907563532,0.1687395192845165,0.1970377471732922,0.2021205980994969,0.0948734577474149,0.0429185299049748,0.1388681890138042,0.2224007825600894,0.1095920759535481,0.2285145332588038,0.0,0.0,1241285.0,286240.0,0.0912320765007824,0.1518518518518518,0.1169634164368618,0.1310938845822566,0.0060556322987445,0.0063565891472868,0.0465590449635795,0.0069767441860465,0.1134054775946702,0.1294056847545219,0.100835452974549,0.1503531438415159,0.0305636121744715,0.0345908699397071,0.0448463408790861,0.03099052540913,0.0768474011244717,0.0954694229112833,0.0591545562516247,0.0820327304048234,0.0142266580351817,0.0183634797588285,0.0215566237301267,0.0208957795004306,0.0527166239340201,0.0295607235142118,980905.0,290250.0,0.2250421804354142,0.1120757967269595,0.0785623167836716,0.0640674198925727,0.0424090359969925,0.0343767364326727,0.0212340860514822,0.0137247638451565,0.0426033403451859,0.0304130394517503,0.7026087470748748,0.7583997036488238,0.0730119708374517,0.0684015558436747,0.0395662789027717,0.0306167808853491,1183710.0,269950.0,0.5132624659123408,0.5205072666294019,0.0011198072964709,0.0013100894354387,0.4852390869139641,0.4780429010620458,0.0003746117934237,0.0001397428731134,1241285.0,286240.0,2123345.0,2125435.0,2265050.0,1342510.0,1324070.0,1415918.0,282197.0,262730.0,275515.0,458.0,371.0,452.0,399724.0,399953.0,415693.0,304.8666666666667,256.4516129032258,415.8709677419355,14.1,17.0,17.5,2139888.3333333335,26864.233347209287,288317.3333333333,29133.71099488244,406927.6666666667,12279.330695658167,10,4,0,0,0
2019-11-01,2143505,1366383,47179,729943,358128,1111,416459,0.036469,58,94,65,50,35,46,6,50,168.13333333333333,1725.2666666666669,5846.179122807018,16.1255,21.712,9.565666666666663,7.923833333333333,6.1,4.8,119.6,21.0816514887029,28.226379417017977,53.99868615728582,13.379032062588712,68.7,74.35545648931046,0.945818103692509,18.23470507936508,2086779.6851851847,T1,1241285.0,286240.0,128580.0,0.104,0.1091530148193203,0.0724042761319172,0.1146150964524665,0.0629017607602012,0.2358563907563532,0.1687395192845165,0.1970377471732922,0.2021205980994969,0.0948734577474149,0.0429185299049748,0.1388681890138042,0.2224007825600894,0.1095920759535481,0.2285145332588038,0.0,0.0,1241285.0,286240.0,0.0912320765007824,0.1518518518518518,0.1169634164368618,0.1310938845822566,0.0060556322987445,0.0063565891472868,0.0465590449635795,0.0069767441860465,0.1134054775946702,0.1294056847545219,0.100835452974549,0.1503531438415159,0.0305636121744715,0.0345908699397071,0.0448463408790861,0.03099052540913,0.0768474011244717,0.0954694229112833,0.0591545562516247,0.0820327304048234,0.0142266580351817,0.0183634797588285,0.0215566237301267,0.0208957795004306,0.0527166239340201,0.0295607235142118,980905.0,290250.0,0.2250421804354142,0.1120757967269595,0.0785623167836716,0.0640674198925727,0.0424090359969925,0.0343767364326727,0.0212340860514822,0.0137247638451565,0.0426033403451859,0.0304130394517503,0.7026087470748748,0.7583997036488238,0.0730119708374517,0.0684015558436747,0.0395662789027717,0.0306167808853491,1183710.0,269950.0,0.5132624659123408,0.5205072666294019,0.0011198072964709,0.0013100894354387,0.4852390869139641,0.4780429010620458,0.0003746117934237,0.0001397428731134,1241285.0,286240.0,2170885.0,2123345.0,2125435.0,1376347.0,1342510.0,1324070.0,320025.0,282197.0,262730.0,725.0,458.0,371.0,421106.0,399724.0,399953.0,383.483870967742,304.8666666666667,256.4516129032258,10.0,14.1,17.0,2145911.6666666665,23861.20142267169,320116.6666666667,37965.5829974114,412429.6666666667,11246.071595598738,11,4,1,0,0
2019-12-01,2180537,1373654,43458,763425,396198,2356,424634,0.036469,58,91,58,53,55,44,8,47,142.09677419354838,1263.967741935484,5846.179122807018,16.1255,20.80516129032258,9.565666666666663,7.923833333333333,5.6,6.0,105.7,21.0816514887029,28.226379417017977,53.99868615728582,13.379032062588712,68.7,74.35545648931046,0.945818103692509,18.23470507936508,2086779.6851851847,T1,1241285.0,286240.0,128580.0,0.104,0.1091530148193203,0.0724042761319172,0.1146150964524665,0.0629017607602012,0.2358563907563532,0.1687395192845165,0.1970377471732922,0.2021205980994969,0.0948734577474149,0.0429185299049748,0.1388681890138042,0.2224007825600894,0.1095920759535481,0.2285145332588038,0.0,0.0,1241285.0,286240.0,0.0912320765007824,0.1518518518518518,0.1169634164368618,0.1310938845822566,0.0060556322987445,0.0063565891472868,0.0465590449635795,0.0069767441860465,0.1134054775946702,0.1294056847545219,0.100835452974549,0.1503531438415159,0.0305636121744715,0.0345908699397071,0.0448463408790861,0.03099052540913,0.0768474011244717,0.0954694229112833,0.0591545562516247,0.0820327304048234,0.0142266580351817,0.0183634797588285,0.0215566237301267,0.0208957795004306,0.0527166239340201,0.0295607235142118,980905.0,290250.0,0.2250421804354142,0.1120757967269595,0.0785623167836716,0.0640674198925727,0.0424090359969925,0.0343767364326727,0.0212340860514822,0.0137247638451565,0.0426033403451859,0.0304130394517503,0.7026087470748748,0.7583997036488238,0.0730119708374517,0.0684015558436747,0.0395662789027717,0.0306167808853491,1183710.0,269950.0,0.5132624659123408,0.5205072666294019,0.0011198072964709,0.0013100894354387,0.4852390869139641,0.4780429010620458,0.0003746117934237,0.0001397428731134,1241285.0,286240.0,2143505.0,2170885.0,2123345.0,1366383.0,1376347.0,1342510.0,358128.0,320025.0,282197.0,1111.0,725.0,458.0,416459.0,421106.0,399724.0,168.13333333333333,383.483870967742,304.8666666666667,6.1,10.0,14.1,2164975.6666666665,19210.21658736085,358117.0,38086.501191366995,420733.0,4100.244261016557,12,4,1,1,0
2020-01-01,2114709,1327234,49597,737878,348776,2847,416541,0.036469,53,90,63,53,40,46,8,51,118.25806451612904,1054.1935483870968,5846.179122807018,16.1255,14.912419354838711,9.565666666666663,7.923833333333333,6.2,3.9,74.1,17.935084716728166,30.21294443117293,52.99250706904301,13.383522343842104,67.4,73.98764296425873,0.7491078612282849,18.35746873015873,2099203.5555555555,T1,1241285.0,286240.0,128580.0,0.104,0.1091530148193203,0.0724042761319172,0.1146150964524665,0.0629017607602012,0.2358563907563532,0.1687395192845165,0.1970377471732922,0.2021205980994969,0.0948734577474149,0.0429185299049748,0.1388681890138042,0.2224007825600894,0.1095920759535481,0.2285145332588038,0.0,0.0,1241285.0,286240.0,0.0912320765007824,0.1518518518518518,0.1169634164368618,0.1310938845822566,0.0060556322987445,0.0063565891472868,0.0465590449635795,0.0069767441860465,0.1134054775946702,0.1294056847545219,0.100835452974549,0.1503531438415159,0.0305636121744715,0.0345908699397071,0.0448463408790861,0.03099052540913,0.0768474011244717,0.0954694229112833,0.0591545562516247,0.0820327304048234,0.0142266580351817,0.0183634797588285,0.0215566237301267,0.0208957795004306,0.0527166239340201,0.0295607235142118,980905.0,290250.0,0.2250421804354142,0.1120757967269595,0.0785623167836716,0.0640674198925727,0.0424090359969925,0.0343767364326727,0.0212340860514822,0.0137247638451565,0.0426033403451859,0.0304130394517503,0.7026087470748748,0.7583997036488238,0.0730119708374517,0.0684015558436747,0.0395662789027717,0.0306167808853491,1183710.0,269950.0,0.5132624659123408,0.5205072666294019,0.0011198072964709,0.0013100894354387,0.4852390869139641,0.4780429010620458,0.0003746117934237,0.0001397428731134,1241285.0,286240.0,2180537.0,2143505.0,2170885.0,1373654.0,1366383.0,1376347.0,396198.0,358128.0,320025.0,2356.0,1111.0,725.0,424634.0,416459.0,421106.0,142.09677419354838,168.13333333333333,383.483870967742,5.6,6.1,10.0,2146250.3333333335,32999.758140527585,367700.6666666667,25118.488834588225,419211.3333333333,4696.346061922237,1,1,1,1,0
2020-02-01,1969691,1237255,45124,687312,305307,1621,382277,0.032847,60,91,64,55,44,43,8,50,120.46428571428572,1012.1428571428572,5846.179122807018,16.1255,12.686071428571427,9.565666666666663,7.923833333333333,6.2,3.4,160.9,17.935084716728166,30.21294443117293,52.99250706904301,13.383522343842104,67.4,73.98764296425873,0.7491078612282849,18.35746873015873,2099203.5555555555,T1,1241285.0,286240.0,128580.0,0.104,0.1091530148193203,0.0724042761319172,0.1146150964524665,0.0629017607602012,0.2358563907563532,0.1687395192845165,0.1970377471732922,0.2021205980994969,0.0948734577474149,0.0429185299049748,0.1388681890138042,0.2224007825600894,0.1095920759535481,0.2285145332588038,0.0,0.0,1241285.0,286240.0,0.0912320765007824,0.1518518518518518,0.1169634164368618,0.1310938845822566,0.0060556322987445,0.0063565891472868,0.0465590449635795,0.0069767441860465,0.1134054775946702,0.1294056847545219,0.100835452974549,0.1503531438415159,0.0305636121744715,0.0345908699397071,0.0448463408790861,0.03099052540913,0.0768474011244717,0.0954694229112833,0.0591545562516247,0.0820327304048234,0.0142266580351817,0.0183634797588285,0.0215566237301267,0.0208957795004306,0.0527166239340201,0.0295607235142118,980905.0,290250.0,0.2250421804354142,0.1120757967269595,0.0785623167836716,0.0640674198925727,0.0424090359969925,0.0343767364326727,0.0212340860514822,0.0137247638451565,0.0426033403451859,0.0304130394517503,0.7026087470748748,0.7583997036488238,0.0730119708374517,0.0684015558436747,0.0395662789027717,0.0306167808853491,1183710.0,269950.0,0.5132624659123408,0.5205072666294019,0.0011198072964709,0.0013100894354387,0.4852390869139641,0.4780429010620458,0.0003746117934237,0.0001397428731134,1241285.0,286240.0,2114709.0,2180537.0,2143505.0,1327234.0,1373654.0,1366383.0,348776.0,396198.0,358128.0,2847.0,2356.0,1111.0,416541.0,424634.0,416459.0,118.25806451612904,142.09677419354838,168.13333333333333,6.2,5.6,6.1,2088312.3333333333,107873.05936763503,350093.6666666667,45459.82461837412,407817.3333333333,22485.676159131443,2,1,1,0,0
2020-03-01,1531801,1013021,32747,486033,216801,1174,325833,0.014758,45,63,67,94,84,30,100,44,132.25806451612902,1070.4193548387098,5846.179122807018,16.1255,13.29548387096774,9.565666666666663,7.923833333333333,6.4,5.8,50.7,17.935084716728166,30.21294443117293,52.99250706904301,13.383522343842104,67.4,73.98764296425873,0.7491078612282849,18.35746873015873,2099203.5555555555,T1,1241285.0,286240.0,128580.0,0.104,0.1091530148193203,0.0724042761319172,0.1146150964524665,0.0629017607602012,0.2358563907563532,0.1687395192845165,0.1970377471732922,0.2021205980994969,0.0948734577474149,0.0429185299049748,0.1388681890138042,0.2224007825600894,0.1095920759535481,0.2285145332588038,0.0,0.0,1241285.0,286240.0,0.0912320765007824,0.1518518518518518,0.1169634164368618,0.1310938845822566,0.0060556322987445,0.0063565891472868,0.0465590449635795,0.0069767441860465,0.1134054775946702,0.1294056847545219,0.100835452974549,0.1503531438415159,0.0305636121744715,0.0345908699397071,0.0448463408790861,0.03099052540913,0.0768474011244717,0.0954694229112833,0.0591545562516247,0.0820327304048234,0.0142266580351817,0.0183634797588285,0.0215566237301267,0.0208957795004306,0.0527166239340201,0.0295607235142118,980905.0,290250.0,0.2250421804354142,0.1120757967269595,0.0785623167836716,0.0640674198925727,0.0424090359969925,0.0343767364326727,0.0212340860514822,0.0137247638451565,0.0426033403451859,0.0304130394517503,0.7026087470748748,0.7583997036488238,0.0730119708374517,0.0684015558436747,0.0395662789027717,0.0306167808853491,1183710.0,269950.0,0.5132624659123408,0.5205072666294019,0.0011198072964709,0.0013100894354387,0.4852390869139641,0.4780429010620458,0.0003746117934237,0.0001397428731134,1241285.0,286240.0,1969691.0,2114709.0,2180537.0,1237255.0,1327234.0,1373654.0,305307.0,348776.0,396198.0,1621.0,2847.0,2356.0,382277.0,416541.0,424634.0,120.46428571428572,118.25806451612904,142.09677419354838,6.2,6.2,5.6,1872067.0,303468.72680393275,290294.6666666667,67256.06121631965,374883.6666666667,45803.726369514225,3,1,1,0,1
2020-04-01,916575,689720,19726,207129,78135,251,257928,-0.421135,28,46,74,52,18,16,30,54,146.4,1178.6666666666667,5846.179122807018,16.1255,15.362333333333334,9.565666666666663,7.923833333333333,10.2,1.5,28.8,17.935084716728166,30.21294443117293,52.99250706904301,13.383522343842104,67.4,73.98764296425873,0.7491078612282849,18.35746873015873,2099203.5555555555,T1,1241285.0,286240.0,128580.0,0.104,0.1091530148193203,0.0724042761319172,0.1146150964524665,0.0629017607602012,0.2358563907563532,0.1687395192845165,0.1970377471732922,0.2021205980994969,0.0948734577474149,0.0429185299049748,0.1388681890138042,0.2224007825600894,0.1095920759535481,0.2285145332588038,0.0,0.0,1241285.0,286240.0,0.0912320765007824,0.1518518518518518,0.1169634164368618,0.1310938845822566,0.0060556322987445,0.0063565891472868,0.0465590449635795,0.0069767441860465,0.1134054775946702,0.1294056847545219,0.100835452974549,0.1503531438415159,0.0305636121744715,0.0345908699397071,0.0448463408790861,0.03099052540913,0.0768474011244717,0.0954694229112833,0.0591545562516247,0.0820327304048234,0.0142266580351817,0.0183634797588285,0.0215566237301267,0.0208957795004306,0.0527166239340201,0.0295607235142118,980905.0,290250.0,0.2250421804354142,0.1120757967269595,0.0785623167836716,0.0640674198925727,0.0424090359969925,0.0343767364326727,0.0212340860514822,0.0137247638451565,0.0426033403451859,0.0304130394517503,0.7026087470748748,0.7583997036488238,0.0730119708374517,0.0684015558436747,0.0395662789027717,0.0306167808853491,1183710.0,269950.0,0.5132624659123408,0.5205072666294019,0.0011198072964709,0.0013100894354387,0.4852390869139641,0.4780429010620458,0.0003746117934237,0.0001397428731134,1241285.0,286240.0,1531801.0,1969691.0,2114709.0,1013021.0,1237255.0,1327234.0,216801.0,305307.0,348776.0,1174.0,1621.0,2847.0,325833.0,382277.0,416541.0,132.25806451612902,120.46428571428572,118.25806451612904,6.4,6.2,6.2,1472689.0,529040.6400003689,200081.0,114505.23217739881,322012.6666666667,62262.46590308911,4,2,0,0,0
