Region,Date,Day,Hybrid_Weekly,Hybrid_Daily
East of England,2025-04-28,Monday,53593,9378
East of England,2025-04-29,Tuesday,53593,8842
East of England,2025-04-30,Wednesday,53593,8306
East of England,2025-05-01,Thursday,53593,7770
East of England,2025-05-02,Friday,53593,7235
East of England,2025-05-03,Saturday,53593,5895
East of England,2025-05-04,Sunday,53593,6167
London,2025-04-28,Monday,95247,16668
London,2025-04-29,Tuesday,95247,15715
London,2025-04-30,Wednesday,95247,14763
London,2025-05-01,Thursday,95247,13810
London,2025-05-02,Friday,95247,12858
London,2025-05-03,Saturday,95247,10477
London,2025-05-04,Sunday,95247,10956
Midlands,2025-04-28,Monday,94758,16582
Midlands,2025-04-29,Tuesday,94758,15635
Midlands,2025-04-30,Wednesday,94758,14687
Midlands,2025-05-01,Thursday,94758,13739
Midlands,2025-05-02,Friday,94758,12792
Midlands,2025-05-03,Saturday,94758,10423
Midlands,2025-05-04,Sunday,94758,10900
North East and Yorkshire,2025-04-28,Monday,77522,13566
North East and Yorkshire,2025-04-29,Tuesday,77522,12791
North East and Yorkshire,2025-04-30,Wednesday,77522,12015
North East and Yorkshire,2025-05-01,Thursday,77522,11240
North East and Yorkshire,2025-05-02,Friday,77522,10465
North East and Yorkshire,2025-05-03,Saturday,77522,8527
North East and Yorkshire,2025-05-04,Sunday,77522,8918
North West,2025-04-28,Monday,70382,12316
North West,2025-04-29,Tuesday,70382,11613
North West,2025-04-30,Wednesday,70382,10909
North West,2025-05-01,Thursday,70382,10205
North West,2025-05-02,Friday,70382,9501
North West,2025-05-03,Saturday,70382,7742
North West,2025-05-04,Sunday,70382,8096
South East,2025-04-28,Monday,77008,13476
South East,2025-04-29,Tuesday,77008,12706
South East,2025-04-30,Wednesday,77008,11936
South East,2025-05-01,Thursday,77008,11166
South East,2025-05-02,Friday,77008,10396
South East,2025-05-03,Saturday,77008,8470
South East,2025-05-04,Sunday,77008,8858
South West,2025-04-28,Monday,44481,7784
South West,2025-04-29,Tuesday,44481,7339
South West,2025-04-30,Wednesday,44481,6894
South West,2025-05-01,Thursday,44481,6449
South West,2025-05-02,Friday,44481,6004
South West,2025-05-03,Saturday,44481,4892
South West,2025-05-04,Sunday,44481,5119
