Region,Model,MAE,RMSE,MAPE (%),Accuracy (%),R2
East of England,RandomForest,4604.499285714293,5716.403307267549,2.0577458047100086,97.94225419528999,0.7150301942203316
East of England,XGBoost,2648.875,3321.879136874188,1.1928678116389761,98.80713218836102,0.9037677049636841
London,RandomForest,6160.6885714285645,7982.428986341094,1.5833075149643432,98.41669248503565,0.714485223160501
London,XGBoost,3560.0625,4508.817361570548,0.9123399720923745,99.08766002790763,0.9089072942733765
Midlands,RandomForest,4443.269285714287,5651.309270108195,1.0851970778029991,98.914802922197,0.9126438348661587
Midlands,XGBoost,2963.071533203125,3842.025247184094,0.729595349304659,99.27040465069534,0.959624707698822
North East and Yorkshire,RandomForest,4378.546428571431,5203.760986651523,1.2841239625969054,98.71587603740309,0.9000074466824088
North East and Yorkshire,XGBoost,3355.18310546875,4319.900461816221,0.9683715732407675,99.03162842675923,0.9310902953147888
North West,RandomForest,3950.089285714286,4866.122244097077,1.2752877753579726,98.72471222464203,0.8671359402259542
North West,XGBoost,2682.50439453125,4526.435904770993,0.910806282342688,99.08919371765731,0.8850380182266235
South East,RandomForest,7026.335714285711,8236.893161510765,2.0999100799309196,97.90008992006908,0.687858370284218
South East,XGBoost,4733.12060546875,5353.048103650854,1.4102812489280578,98.58971875107194,0.8681660890579224
South West,RandomForest,5052.16214285714,6526.634314564708,2.6045754536123282,97.39542454638767,0.6664365335623614
South West,XGBoost,2640.56689453125,3084.359739070655,1.3958991097290157,98.60410089027098,0.9255045056343079
