Week,Actual,Predicted,Region,Model
2024-11-03,57789.54583858769,58120.02314084682,East of England,RandomForest
2024-11-10,59760.56757001507,60409.63332837455,East of England,RandomForest
2024-11-17,58849.050691180295,59619.403657360795,East of England,RandomForest
2024-11-24,56309.83590021694,56753.51767712375,East of England,RandomForest
2024-12-01,40370.16385407805,41471.79516077317,East of England,RandomForest
2024-12-08,46424.01770997747,44975.24907973498,East of England,RandomForest
2024-12-15,51588.51572117822,51328.75149892466,East of England,RandomForest
2024-12-22,47378.3751509397,45534.886234516904,East of England,RandomForest
2024-12-29,53167.92756382656,52435.01300574926,East of England,RandomForest
2025-01-05,57930.48085003692,59415.41620624243,East of England,RandomForest
2025-01-12,57673.51920578402,58617.496087679894,East of England,RandomForest
2025-01-19,53484.85555944847,55015.41385487182,East of England,RandomForest
2025-01-26,50595.1443847306,49980.74801217591,East of England,RandomForest
2025-02-02,51508.369705772064,54119.576284074436,East of England,RandomForest
2025-02-09,45337.62139154233,45383.519693915594,East of England,RandomForest
2025-02-16,65379.96189901826,62854.448019405,East of England,RandomForest
2025-02-23,44662.04700366734,45032.61457671432,East of England,RandomForest
2025-03-02,47828.02636686403,45975.269087424334,East of England,RandomForest
2025-03-09,45874.76800445436,45076.43303987211,East of England,RandomForest
2025-03-16,48507.99044129011,46658.52262767903,East of England,RandomForest
2025-03-23,49692.03861509122,48097.74929934188,East of England,RandomForest
2025-03-30,45759.17657230028,45040.62751938877,East of England,RandomForest
2025-04-06,56620.27451718827,55906.290874581115,East of England,RandomForest
2025-04-13,56831.53078388013,55970.91358997753,East of England,RandomForest
2025-04-20,53947.12486887461,54110.749263942875,East of England,RandomForest
2025-04-27,55289.06983005698,55106.88551746396,East of England,RandomForest
2025-05-04,52761.78791771623,52268.139917274435,East of England,RandomForest
2025-05-11,50132.39909540885,48923.30811842793,East of England,RandomForest
2025-05-18,65079.80659990069,61575.86702496219,East of England,RandomForest
2025-05-25,65239.00638697422,61068.49276397079,East of England,RandomForest
