Week,Actual,Predicted,Region,Model
2024-11-03,57789.54583858769,58276.848,East of England,XGBoost
2024-11-10,59760.56757001507,59904.938,East of England,XGBoost
2024-11-17,58849.050691180295,58575.17,East of England,XGBoost
2024-11-24,56309.83590021694,56176.316,East of England,XGBoost
2024-12-01,40370.16385407805,42029.79,East of England,XGBoost
2024-12-08,46424.01770997747,45393.35,East of England,XGBoost
2024-12-15,51588.51572117822,51342.812,East of England,XGBoost
2024-12-22,47378.3751509397,45766.42,East of England,XGBoost
2024-12-29,53167.92756382656,53386.695,East of England,XGBoost
2025-01-05,57930.48085003692,58704.418,East of England,XGBoost
2025-01-12,57673.51920578402,58712.984,East of England,XGBoost
2025-01-19,53484.85555944847,54952.887,East of England,XGBoost
2025-01-26,50595.1443847306,50684.297,East of England,XGBoost
2025-02-02,51508.369705772064,53335.07,East of England,XGBoost
2025-02-09,45337.62139154233,45106.074,East of England,XGBoost
2025-02-16,65379.96189901826,62976.543,East of England,XGBoost
2025-02-23,44662.04700366734,45018.24,East of England,XGBoost
2025-03-02,47828.02636686403,45811.77,East of England,XGBoost
2025-03-09,45874.76800445436,45137.457,East of England,XGBoost
2025-03-16,48507.99044129011,47669.867,East of England,XGBoost
2025-03-23,49692.03861509122,48526.312,East of England,XGBoost
2025-03-30,45759.17657230028,45138.008,East of England,XGBoost
2025-04-06,56620.27451718827,55770.14,East of England,XGBoost
2025-04-13,56831.53078388013,56035.09,East of England,XGBoost
2025-04-20,53947.12486887461,54752.71,East of England,XGBoost
2025-04-27,55289.06983005698,55691.63,East of England,XGBoost
2025-05-04,52761.78791771623,52916.805,East of England,XGBoost
2025-05-11,50132.39909540885,50101.047,East of England,XGBoost
2025-05-18,65079.80659990069,63305.215,East of England,XGBoost
2025-05-25,65239.00638697422,62900.605,East of England,XGBoost
