Week,Actual,Predicted,Region,Model
2024-11-03,100559.35753964972,100563.9175365572,London,RandomForest
2024-11-10,103989.12456987747,105292.24517249191,London,RandomForest
2024-11-17,102402.9976953353,103090.60333098313,London,RandomForest
2024-11-24,97984.52019513746,98720.26193250135,London,RandomForest
2024-12-01,69199.81595963985,70403.58085873087,London,RandomForest
2024-12-08,79576.92451409218,78626.60507387131,London,RandomForest
2024-12-15,88429.55917742454,90060.85396240572,London,RandomForest
2024-12-22,81212.81976368821,81097.59236930619,London,RandomForest
2024-12-29,91136.88058515522,92163.03948223712,London,RandomForest
2025-01-05,105002.62240380296,107527.30924525346,London,RandomForest
2025-01-12,104536.8633403905,107337.11620402081,London,RandomForest
2025-01-19,96944.64831336075,97228.9114766579,London,RandomForest
2025-01-26,91706.8659424458,93001.42236427566,London,RandomForest
2025-02-02,91651.37710407104,93498.76175301138,London,RandomForest
2025-02-09,80671.46094690321,79129.32055896797,London,RandomForest
2025-02-16,116333.78375757896,113719.92944690246,London,RandomForest
2025-02-23,79469.3781914468,78638.63804165785,London,RandomForest
2025-03-02,83325.83934034688,84484.25480280138,London,RandomForest
2025-03-09,79922.87867356307,78466.98626456082,London,RandomForest
2025-03-16,84510.47064393102,85207.99892611796,London,RandomForest
2025-03-23,86573.31570353267,86303.86529722759,London,RandomForest
2025-03-30,79721.49563862637,78217.8374463064,London,RandomForest
2025-04-06,101362.61782863142,101461.953892825,London,RandomForest
2025-04-13,101740.8125372793,101621.29038028346,London,RandomForest
2025-04-20,96577.09800359944,95806.3427200906,London,RandomForest
2025-04-27,98979.4716304898,98196.10578938572,London,RandomForest
2025-05-04,93997.17048568004,93152.48894853769,London,RandomForest
2025-05-11,89312.81237050369,89997.10602574502,London,RandomForest
2025-05-18,115942.19827588316,111721.2771936913,London,RandomForest
2025-05-25,116225.81886793308,112052.82048762651,London,RandomForest
