Week,Actual,Predicted,Region,Model
2024-11-03,100559.35753964972,99853.234,London,XGBoost
2024-11-10,103989.12456987747,104087.164,London,XGBoost
2024-11-17,102402.9976953353,102202.195,London,XGBoost
2024-11-24,97984.52019513746,98699.8,London,XGBoost
2024-12-01,69199.81595963985,69369.234,London,XGBoost
2024-12-08,79576.92451409218,79751.21,London,XGBoost
2024-12-15,88429.55917742454,89489.48,London,XGBoost
2024-12-22,81212.81976368821,81387.94,London,XGBoost
2024-12-29,91136.88058515522,91654.95,London,XGBoost
2025-01-05,105002.62240380296,107034.78,London,XGBoost
2025-01-12,104536.8633403905,106550.65,London,XGBoost
2025-01-19,96944.64831336075,96283.695,London,XGBoost
2025-01-26,91706.8659424458,92023.19,London,XGBoost
2025-02-02,91651.37710407104,91984.15,London,XGBoost
2025-02-09,80671.46094690321,80129.23,London,XGBoost
2025-02-16,116333.78375757896,112124.01,London,XGBoost
2025-02-23,79469.3781914468,79359.31,London,XGBoost
2025-03-02,83325.83934034688,86569.91,London,XGBoost
2025-03-09,79922.87867356307,79527.78,London,XGBoost
2025-03-16,84510.47064393102,87788.34,London,XGBoost
2025-03-23,86573.31570353267,87851.15,London,XGBoost
2025-03-30,79721.49563862637,79493.305,London,XGBoost
2025-04-06,101362.61782863142,101402.086,London,XGBoost
2025-04-13,101740.8125372793,101578.65,London,XGBoost
2025-04-20,96577.09800359944,95683.055,London,XGBoost
2025-04-27,98979.4716304898,97835.26,London,XGBoost
2025-05-04,93997.17048568004,93491.11,London,XGBoost
2025-05-11,89312.81237050369,90952.31,London,XGBoost
2025-05-18,115942.19827588316,111892.49,London,XGBoost
2025-05-25,116225.81886793308,112653.586,London,XGBoost
