Week,Actual,Predicted,Region,Model
2024-11-03,103697.057034171,103074.49686063407,Midlands,RandomForest
2024-11-10,107233.84123853724,109286.6436845486,Midlands,RandomForest
2024-11-17,105598.22330106204,105240.2143400986,Midlands,RandomForest
2024-11-24,101041.8784262297,100111.2653764715,Midlands,RandomForest
2024-12-01,70924.9283275405,70718.1721945542,Midlands,RandomForest
2024-12-08,81560.7323432752,80932.97323222879,Midlands,RandomForest
2024-12-15,90634.05819392412,91159.84118060717,Midlands,RandomForest
2024-12-22,83237.40953843758,82757.88128782,Midlands,RandomForest
2024-12-29,93408.87159682256,92192.77963433499,Midlands,RandomForest
2025-01-05,102765.13524036563,102121.80546652999,Midlands,RandomForest
2025-01-12,102309.30097598946,101613.71029136988,Midlands,RandomForest
2025-01-19,94878.86746713654,95751.29688783443,Midlands,RandomForest
2025-01-26,89752.69631650836,90659.29429778182,Midlands,RandomForest
2025-02-02,91368.0521904696,91004.87496439884,Midlands,RandomForest
2025-02-09,80422.07860890597,81231.82687760965,Midlands,RandomForest
2025-02-16,115974.15730925386,113584.55045966653,Midlands,RandomForest
2025-02-23,79223.71189137056,79601.45895306933,Midlands,RandomForest
2025-03-02,84979.8629062062,84341.21477803393,Midlands,RandomForest
2025-03-09,81509.35323924295,81047.07988494202,Midlands,RandomForest
2025-03-16,86188.00922156213,85113.0993793395,Midlands,RandomForest
2025-03-23,88291.80189559297,87437.25517087993,Midlands,RandomForest
2025-03-30,81303.97273739577,80871.66253732235,Midlands,RandomForest
2025-04-06,102572.12460887224,102326.86028858017,Midlands,RandomForest
2025-04-13,102954.83211596753,102848.37553854061,Midlands,RandomForest
2025-04-20,97729.50169397,97112.29031098276,Midlands,RandomForest
2025-04-27,100160.54158119023,99001.36795172526,Midlands,RandomForest
2025-05-04,94872.26147831652,96016.83686378416,Midlands,RandomForest
2025-05-11,90144.29311857963,90362.41920619503,Midlands,RandomForest
2025-05-18,117021.59218586424,112219.43853690267,Midlands,RandomForest
2025-05-25,117307.85321723958,113312.58283985457,Midlands,RandomForest
