Week,Actual,Predicted,Region,Model
2024-11-03,103697.057034171,103406.84,Midlands,XGBoost
2024-11-10,107233.84123853724,107910.2,Midlands,XGBoost
2024-11-17,105598.22330106204,104892.89,Midlands,XGBoost
2024-11-24,101041.8784262297,101437.74,Midlands,XGBoost
2024-12-01,70924.9283275405,69564.56,Midlands,XGBoost
2024-12-08,81560.7323432752,81604.1,Midlands,XGBoost
2024-12-15,90634.05819392412,91419.83,Midlands,XGBoost
2024-12-22,83237.40953843758,83125.484,Midlands,XGBoost
2024-12-29,93408.87159682256,93016.66,Midlands,XGBoost
2025-01-05,102765.13524036563,101784.484,Midlands,XGBoost
2025-01-12,102309.30097598946,101794.58,Midlands,XGBoost
2025-01-19,94878.86746713654,95028.88,Midlands,XGBoost
2025-01-26,89752.69631650836,89979.234,Midlands,XGBoost
2025-02-02,91368.0521904696,90465.75,Midlands,XGBoost
2025-02-09,80422.07860890597,80717.766,Midlands,XGBoost
2025-02-16,115974.15730925386,112662.32,Midlands,XGBoost
2025-02-23,79223.71189137056,79544.75,Midlands,XGBoost
2025-03-02,84979.8629062062,84510.92,Midlands,XGBoost
2025-03-09,81509.35323924295,80506.3,Midlands,XGBoost
2025-03-16,86188.00922156213,85189.91,Midlands,XGBoost
2025-03-23,88291.80189559297,87624.63,Midlands,XGBoost
2025-03-30,81303.97273739577,80416.18,Midlands,XGBoost
2025-04-06,102572.12460887224,101720.87,Midlands,XGBoost
2025-04-13,102954.83211596753,103310.61,Midlands,XGBoost
2025-04-20,97729.50169397,96548.76,Midlands,XGBoost
2025-04-27,100160.54158119023,99610.26,Midlands,XGBoost
2025-05-04,94872.26147831652,94888.87,Midlands,XGBoost
2025-05-11,90144.29311857963,89838.76,Midlands,XGBoost
2025-05-18,117021.59218586424,115649.734,Midlands,XGBoost
2025-05-25,117307.85321723958,115668.45,Midlands,XGBoost
