Week,Actual,Predicted,Region,Model
2024-11-03,85616.85526146683,85711.93,North East and Yorkshire,XGBoost
2024-11-10,88536.97999766337,88233.48,North East and Yorkshire,XGBoost
2024-11-17,87186.54182496067,87037.6,North East and Yorkshire,XGBoost
2024-11-24,83424.6229159091,83575.9,North East and Yorkshire,XGBoost
2024-12-01,58844.91767689822,59319.934,North East and Yorkshire,XGBoost
2024-12-08,67669.22002716942,65898.586,North East and Yorkshire,XGBoost
2024-12-15,75197.16718661385,72889.18,North East and Yorkshire,XGBoost
2024-12-22,69060.32374551821,67962.305,North East and Yorkshire,XGBoost
2024-12-29,77499.3713638003,74389.766,North East and Yorkshire,XGBoost
2025-01-05,84897.14552824436,85995.83,North East and Yorkshire,XGBoost
2025-01-12,84520.56812396237,85702.29,North East and Yorkshire,XGBoost
2025-01-19,78382.07968171444,75199.734,North East and Yorkshire,XGBoost
2025-01-26,74147.20666607883,72163.93,North East and Yorkshire,XGBoost
2025-02-02,76666.27760955847,73912.86,North East and Yorkshire,XGBoost
2025-02-09,67481.5896448676,68291.17,North East and Yorkshire,XGBoost
2025-02-16,97313.08402274654,97162.7,North East and Yorkshire,XGBoost
2025-02-23,66476.04872282739,67580.086,North East and Yorkshire,XGBoost
2025-03-02,71396.90627186208,69573.586,North East and Yorkshire,XGBoost
2025-03-09,68481.11369543431,67673.58,North East and Yorkshire,XGBoost
2025-03-16,72411.94567402455,71490.08,North East and Yorkshire,XGBoost
2025-03-23,74179.47368862011,72224.83,North East and Yorkshire,XGBoost
2025-03-30,68308.56067005894,67681.55,North East and Yorkshire,XGBoost
2025-04-06,87436.38167825316,84736.586,North East and Yorkshire,XGBoost
2025-04-13,87762.6161185469,85895.3,North East and Yorkshire,XGBoost
2025-04-20,83308.34565359406,82336.805,North East and Yorkshire,XGBoost
2025-04-27,85380.65654960588,83778.01,North East and Yorkshire,XGBoost
2025-05-04,80269.01085972859,75644.66,North East and Yorkshire,XGBoost
2025-05-11,76268.79691206265,73737.04,North East and Yorkshire,XGBoost
2025-05-18,99008.99702002705,96197.72,North East and Yorkshire,XGBoost
2025-05-25,99251.19520818171,96210.32,North East and Yorkshire,XGBoost
