Week,Actual,Predicted,Region,Model
2024-11-03,77698.97550813743,77330.79559307569,North West,RandomForest
2024-11-10,80349.04598392794,80780.38401072653,North West,RandomForest
2024-11-17,79123.49685361194,79159.84472205682,North West,RandomForest
2024-11-24,75709.48165432268,76299.01292810334,North West,RandomForest
2024-12-01,52989.84236985987,52370.01370035203,North West,RandomForest
2024-12-08,60936.12573679927,59862.84655016876,North West,RandomForest
2024-12-15,67715.0413865394,65447.09569530227,North West,RandomForest
2024-12-22,62188.814493374215,61499.29728539167,North West,RandomForest
2024-12-29,69788.17601342725,66648.62846684009,North West,RandomForest
2025-01-05,78759.5481529935,79368.81774038494,North West,RandomForest
2025-01-12,78410.1952269165,78743.96938277736,North West,RandomForest
2025-01-19,72715.48578709234,71810.55137508134,North West,RandomForest
2025-01-26,68786.77083299766,66474.7517753749,North West,RandomForest
2025-02-02,70534.21027915184,66907.2821836775,North West,RandomForest
2025-02-09,62084.14941211517,61791.388035779615,North West,RandomForest
2025-02-16,89529.60474133427,86246.92459993131,North West,RandomForest
2025-02-23,61159.03556739872,61431.163199528564,North West,RandomForest
2025-03-02,64992.3193411561,62658.07929918301,North West,RandomForest
2025-03-09,62338.084975059326,60877.47270018262,North West,RandomForest
2025-03-16,65916.30566512933,63252.76540224596,North West,RandomForest
2025-03-23,67525.27937516118,64396.26832937236,North West,RandomForest
2025-03-30,62181.01064349408,60741.65597915018,North West,RandomForest
2025-04-06,78543.44303084882,77296.01553705524,North West,RandomForest
2025-04-13,78836.4969711434,77488.82274552865,North West,RandomForest
2025-04-20,74835.25936509285,75780.77302516533,North West,RandomForest
2025-04-27,76696.80063291494,76478.49321561914,North West,RandomForest
2025-05-04,73487.28190541874,73447.63456312101,North West,RandomForest
2025-05-11,69825.03607847285,66517.95622456919,North West,RandomForest
2025-05-18,90643.97327504444,85983.69280489685,North West,RandomForest
2025-05-25,90865.70874106392,85760.40732253627,North West,RandomForest
