Week,Actual,Predicted,Region,Model
2024-11-03,77698.97550813743,77013.16,North West,XGBoost
2024-11-10,80349.04598392794,80272.55,North West,XGBoost
2024-11-17,79123.49685361194,77655.62,North West,XGBoost
2024-11-24,75709.48165432268,76422.42,North West,XGBoost
2024-12-01,52989.84236985987,52282.293,North West,XGBoost
2024-12-08,60936.12573679927,60359.156,North West,XGBoost
2024-12-15,67715.0413865394,66554.484,North West,XGBoost
2024-12-22,62188.814493374215,62349.36,North West,XGBoost
2024-12-29,69788.17601342725,67345.16,North West,XGBoost
2025-01-05,78759.5481529935,77995.39,North West,XGBoost
2025-01-12,78410.1952269165,77790.766,North West,XGBoost
2025-01-19,72715.48578709234,70808.26,North West,XGBoost
2025-01-26,68786.77083299766,66933.125,North West,XGBoost
2025-02-02,70534.21027915184,67127.98,North West,XGBoost
2025-02-09,62084.14941211517,61831.027,North West,XGBoost
2025-02-16,89529.60474133427,87503.695,North West,XGBoost
2025-02-23,61159.03556739872,61425.527,North West,XGBoost
2025-03-02,64992.3193411561,64089.13,North West,XGBoost
2025-03-09,62338.084975059326,60525.58,North West,XGBoost
2025-03-16,65916.30566512933,64231.68,North West,XGBoost
2025-03-23,67525.27937516118,65040.055,North West,XGBoost
2025-03-30,62181.01064349408,60457.324,North West,XGBoost
2025-04-06,78543.44303084882,77104.36,North West,XGBoost
2025-04-13,78836.4969711434,77123.55,North West,XGBoost
2025-04-20,74835.25936509285,75451.95,North West,XGBoost
2025-04-27,76696.80063291494,76488.3,North West,XGBoost
2025-05-04,73487.28190541874,73391.82,North West,XGBoost
2025-05-11,69825.03607847285,66861.34,North West,XGBoost
2025-05-18,90643.97327504444,86469.125,North West,XGBoost
2025-05-25,90865.70874106392,87181.33,North West,XGBoost
