Week,Actual,Predicted,Region,Model
2024-11-03,83237.07099110691,85778.04433271725,South East,RandomForest
2024-11-10,86076.02868497906,87834.78265169267,South East,RandomForest
2024-11-17,84763.12694726544,87048.80440754183,South East,RandomForest
2024-11-24,81105.77337664858,83067.83621920983,South East,RandomForest
2024-12-01,57349.257081339296,58067.77880052034,South East,RandomForest
2024-12-08,65949.27224030085,64620.4970982548,South East,RandomForest
2024-12-15,73285.88165340578,68834.83484356482,South East,RandomForest
2024-12-22,67305.01829144558,65344.047086382096,South East,RandomForest
2024-12-29,75529.57073350847,77732.67900387681,South East,RandomForest
2025-01-05,86139.69585400943,88596.82784422167,South East,RandomForest
2025-01-12,85757.60688189491,88300.13759947881,South East,RandomForest
2025-01-19,79529.27583344202,81676.17490713098,South East,RandomForest
2025-01-26,75232.42143065363,76989.6547936955,South East,RandomForest
2025-02-02,76158.63305873836,78550.06405648451,South East,RandomForest
2025-02-09,67034.76136088133,67755.25575835425,South East,RandomForest
2025-02-16,96668.72696814648,92555.65087292242,South East,RandomForest
2025-02-23,66035.87861223384,67254.80598044765,South East,RandomForest
2025-03-02,70500.9684551927,68060.59946549228,South East,RandomForest
2025-03-09,67621.76526297211,65811.20770376094,South East,RandomForest
2025-03-16,71503.27044010149,68678.25560287287,South East,RandomForest
2025-03-23,73248.61828929509,70365.65838397387,South East,RandomForest
2025-03-30,67451.37755243861,65760.7784061984,South East,RandomForest
2025-04-06,86164.83587039437,87466.16572349358,South East,RandomForest
2025-04-13,86486.32603802983,87788.57928147446,South East,RandomForest
2025-04-20,82096.83191477903,85330.35009013819,South East,RandomForest
2025-04-27,84139.00617679677,87026.53984479101,South East,RandomForest
2025-05-04,79953.63421967294,85033.11551527539,South East,RandomForest
2025-05-11,75969.13709747684,71281.03400703371,South East,RandomForest
2025-05-18,98619.99104523034,92435.6089011285,South East,RandomForest
2025-05-25,98861.23763761984,91796.5586226712,South East,RandomForest
