Week,Actual,Predicted,Region,Model
2024-11-03,83237.07099110691,84388.37,South East,XGBoost
2024-11-10,86076.02868497906,86619.64,South East,XGBoost
2024-11-17,84763.12694726544,85971.625,South East,XGBoost
2024-11-24,81105.77337664858,81126.97,South East,XGBoost
2024-12-01,57349.257081339296,59114.773,South East,XGBoost
2024-12-08,65949.27224030085,64968.04,South East,XGBoost
2024-12-15,73285.88165340578,70463.91,South East,XGBoost
2024-12-22,67305.01829144558,66259.8,South East,XGBoost
2024-12-29,75529.57073350847,76120.95,South East,XGBoost
2025-01-05,86139.69585400943,86593.52,South East,XGBoost
2025-01-12,85757.60688189491,86609.81,South East,XGBoost
2025-01-19,79529.27583344202,80467.97,South East,XGBoost
2025-01-26,75232.42143065363,75410.45,South East,XGBoost
2025-02-02,76158.63305873836,76571.336,South East,XGBoost
2025-02-09,67034.76136088133,67451.7,South East,XGBoost
2025-02-16,96668.72696814648,93532.21,South East,XGBoost
2025-02-23,66035.87861223384,66829.39,South East,XGBoost
2025-03-02,70500.9684551927,68450.08,South East,XGBoost
2025-03-09,67621.76526297211,65708.5,South East,XGBoost
2025-03-16,71503.27044010149,69939.516,South East,XGBoost
2025-03-23,73248.61828929509,71413.72,South East,XGBoost
2025-03-30,67451.37755243861,65608.11,South East,XGBoost
2025-04-06,86164.83587039437,85780.625,South East,XGBoost
2025-04-13,86486.32603802983,85750.1,South East,XGBoost
2025-04-20,82096.83191477903,83307.79,South East,XGBoost
2025-04-27,84139.00617679677,84380.805,South East,XGBoost
2025-05-04,79953.63421967294,81906.516,South East,XGBoost
2025-05-11,75969.13709747684,71576.76,South East,XGBoost
2025-05-18,98619.99104523034,93586.18,South East,XGBoost
2025-05-25,98861.23763761984,93222.39,South East,XGBoost
