Week,Actual,Predicted,Region,Model
2024-11-03,46322.725564783126,46317.73711762231,South West,RandomForest
2024-11-10,47902.649708886165,48448.93997592288,South West,RandomForest
2024-11-17,47171.99945695536,47703.026242840046,South West,RandomForest
2024-11-24,45136.62526937534,44196.56401267085,South West,RandomForest
2024-12-01,31915.930510270267,31523.07192657652,South West,RandomForest
2024-12-08,36701.999243669765,36749.00427321622,South West,RandomForest
2024-12-15,40784.95913062256,39505.968396975404,South West,RandomForest
2024-12-22,37456.4971911591,37104.71225230294,South West,RandomForest
2024-12-29,42033.6139242783,42107.94059115133,South West,RandomForest
2025-01-05,47054.73741083301,48436.47276572678,South West,RandomForest
2025-01-12,46846.017191053084,48334.7650528188,South West,RandomForest
2025-01-19,43443.72421698232,42551.23025793782,South West,RandomForest
2025-01-26,41096.52118113159,39120.733404704166,South West,RandomForest
2025-02-02,42154.913045762056,40348.20169649637,South West,RandomForest
2025-02-09,37104.71712421482,36312.62835282422,South West,RandomForest
2025-02-16,53507.54886112231,53819.07047926643,South West,RandomForest
2025-02-23,36551.820968900814,35682.7559752714,South West,RandomForest
2025-03-02,39768.61089472221,38199.69838342675,South West,RandomForest
2025-03-09,38144.49261738201,37375.46227318079,South West,RandomForest
2025-03-16,40333.995434966906,39087.131707867746,South West,RandomForest
2025-03-23,41318.52176150431,39455.66567063948,South West,RandomForest
2025-03-30,38048.37929142457,37313.037761384265,South West,RandomForest
2025-04-06,48746.40317590232,48464.539786625675,South West,RandomForest
2025-04-13,48928.28119110818,48827.19517315486,South West,RandomForest
2025-04-20,46444.99380236313,46623.69708809778,South West,RandomForest
2025-04-27,47600.32183062636,47842.01711876547,South West,RandomForest
2025-05-04,46739.5420198388,46077.057859512584,South West,RandomForest
2025-05-11,44410.27240641342,43915.38619875535,South West,RandomForest
2025-05-18,57651.57844845649,53007.7134519747,South West,RandomForest
2025-05-25,57792.60712529127,53147.68385443668,South West,RandomForest
