Week,Actual,Predicted,Region,Model
2024-11-03,46322.725564783126,46342.445,South West,XGBoost
2024-11-10,47902.649708886165,48683.25,South West,XGBoost
2024-11-17,47171.99945695536,47614.84,South West,XGBoost
2024-11-24,45136.62526937534,45152.766,South West,XGBoost
2024-12-01,31915.930510270267,32030.889,South West,XGBoost
2024-12-08,36701.999243669765,36741.965,South West,XGBoost
2024-12-15,40784.95913062256,39902.523,South West,XGBoost
2024-12-22,37456.4971911591,37102.22,South West,XGBoost
2024-12-29,42033.6139242783,42039.31,South West,XGBoost
2025-01-05,47054.73741083301,48359.445,South West,XGBoost
2025-01-12,46846.017191053084,48367.203,South West,XGBoost
2025-01-19,43443.72421698232,43186.69,South West,XGBoost
2025-01-26,41096.52118113159,40081.99,South West,XGBoost
2025-02-02,42154.913045762056,40758.95,South West,XGBoost
2025-02-09,37104.71712421482,36323.332,South West,XGBoost
2025-02-16,53507.54886112231,52737.008,South West,XGBoost
2025-02-23,36551.820968900814,35973.5,South West,XGBoost
2025-03-02,39768.61089472221,39330.97,South West,XGBoost
2025-03-09,38144.49261738201,37590.406,South West,XGBoost
2025-03-16,40333.995434966906,39684.293,South West,XGBoost
2025-03-23,41318.52176150431,39849.953,South West,XGBoost
2025-03-30,38048.37929142457,37587.266,South West,XGBoost
2025-04-06,48746.40317590232,49031.406,South West,XGBoost
2025-04-13,48928.28119110818,49050.426,South West,XGBoost
2025-04-20,46444.99380236313,46092.95,South West,XGBoost
2025-04-27,47600.32183062636,47242.78,South West,XGBoost
2025-05-04,46739.5420198388,46773.383,South West,XGBoost
2025-05-11,44410.27240641342,43925.98,South West,XGBoost
2025-05-18,57651.57844845649,55277.383,South West,XGBoost
2025-05-25,57792.60712529127,55229.03,South West,XGBoost
