Region,Week,Model,Predicted,Actual,MAE,RMSE,MAPE (%),Accuracy (%)
East of England,2025-W18,RF,52059,52761,702.0,702.0,1.3305282310797748,98.66947176892023
East of England,2025-W18,XGB,51226,52761,1535.0,1535.0,2.909345918386687,97.09065408161331
London,2025-W18,RF,92486,93997,1511.0,1511.0,1.607498111641861,98.39250188835814
London,2025-W18,XGB,91757,93997,2240.0,2240.0,2.3830547783439897,97.61694522165601
Midlands,2025-W18,RF,91565,94872,3307.0,3307.0,3.485749220001687,96.5142507799983
Midlands,2025-W18,XGB,91526,94872,3346.0,3346.0,3.526857239227591,96.4731427607724
North East and Yorkshire,2025-W18,RF,73676,80269,6593.0,6593.0,8.213631663531377,91.78636833646863
North East and Yorkshire,2025-W18,XGB,73968,80269,6301.0,6301.0,7.8498548630230855,92.15014513697692
North West,2025-W18,RF,66699,73487,6788.0,6788.0,9.237007906160272,90.76299209383973
North West,2025-W18,XGB,67480,73487,6007.0,6007.0,8.174234898689564,91.82576510131044
South East,2025-W18,RF,73327,79953,6626.0,6626.0,8.287368829187148,91.71263117081286
South East,2025-W18,XGB,72653,79953,7300.0,7300.0,9.13036408890223,90.86963591109777
South West,2025-W18,RF,42380,46739,4359.0,4359.0,9.326258584907679,90.67374141509232
South West,2025-W18,XGB,42995,46739,3744.0,3744.0,8.010440959370118,91.98955904062989
