Region,Week,Actual,Predicted
East of England,2024-11-03,57789.545838587685,58313.01563102138
East of England,2024-11-10,59760.56757001507,56580.39586290331
East of England,2024-11-17,58849.050691180295,54429.6409079322
East of England,2024-11-24,56309.835900216945,51865.19798613978
East of England,2024-12-01,40370.16385407805,49457.565811903754
East of England,2024-12-08,46424.01770997747,45579.79635529217
East of England,2024-12-15,51588.51572117823,46013.24080893316
East of England,2024-12-22,47378.3751509397,48433.011025546315
East of England,2024-12-29,53167.92756382657,50488.29952663559
East of England,2025-01-05,57930.48085003692,53661.17522589734
East of England,2025-01-12,57673.51920578401,56003.313440027756
East of England,2025-01-19,53484.85555944848,56633.178118734984
East of England,2025-01-26,50595.1443847306,55259.49109358765
East of England,2025-02-02,51508.369705772064,53489.669083395835
East of England,2025-02-09,45337.62139154233,53275.29377709238
East of England,2025-02-16,65379.961899018264,51791.30014731236
East of England,2025-02-23,44662.04700366734,52894.275051094875
East of England,2025-03-02,47828.02636686403,49757.9904027271
East of England,2025-03-09,45874.76800445436,48368.14165993582
East of England,2025-03-16,48507.99044129011,47881.370775860116
East of England,2025-03-23,49692.03861509122,49809.960417648814
East of England,2025-03-30,45759.17657230028,52204.3072257141
East of England,2025-04-06,56620.27451718827,53365.92699546053
East of England,2025-04-13,56831.53078388013,56581.907756874316
East of England,2025-04-20,53947.124868874605,58017.34385581965
East of England,2025-04-27,55289.06983005698,58154.27748671826
East of England,2025-05-04,52761.78791771623,58143.908681966765
East of England,2025-05-11,50132.39909540885,57424.70554515378
East of England,2025-05-18,65079.80659990069,56765.4876058393
East of England,2025-05-25,65239.006386974215,57326.48336963685
