Region,Week,Actual,Predicted
London,2024-11-03,100559.35753964972,105470.45297554361
London,2024-11-10,103989.12456987747,101285.26974174808
London,2024-11-17,102402.9976953353,97035.14480809153
London,2024-11-24,97984.52019513746,93436.2310485536
London,2024-12-01,69199.81595963985,90047.1772599225
London,2024-12-08,79576.92451409218,83504.39416827727
London,2024-12-15,88429.55917742454,84056.7606465753
London,2024-12-22,81212.8197636882,88280.5372876747
London,2024-12-29,91136.88058515522,92144.26496351747
London,2025-01-05,105002.62240380296,97896.67381392923
London,2025-01-12,104536.86334039051,101287.06391725662
London,2025-01-19,96944.64831336075,101783.44892531047
London,2025-01-26,91706.86594244582,99461.6260983729
London,2025-02-02,91651.37710407104,96004.11679434477
London,2025-02-09,80671.46094690321,93980.89907645002
London,2025-02-16,116333.78375757896,90325.23187204258
London,2025-02-23,79469.3781914468,90191.93048811734
London,2025-03-02,83325.83934034688,84253.2574705194
London,2025-03-09,79922.87867356307,81536.40191789017
London,2025-03-16,84510.47064393101,82397.86171220972
London,2025-03-23,86573.31570353266,87609.30801292667
London,2025-03-30,79721.49563862637,93271.70994598721
London,2025-04-06,101362.61782863142,96471.29454174626
London,2025-04-13,101740.8125372793,102905.7509595866
London,2025-04-20,96577.09800359944,104689.47020492458
London,2025-04-27,98979.4716304898,103922.06886374851
London,2025-05-04,93997.17048568004,102539.92017058436
London,2025-05-11,89312.81237050369,99788.51742248061
London,2025-05-18,115942.19827588316,97225.62555392094
London,2025-05-25,116225.81886793309,97748.79541949248
