Region,Week,Actual,Predicted
Midlands,2024-11-03,103697.057034171,98791.81050876038
Midlands,2024-11-10,107233.84123853724,96101.95270243572
Midlands,2024-11-17,105598.22330106204,94587.12635821865
Midlands,2024-11-24,101041.8784262297,92975.50902065255
Midlands,2024-12-01,70924.9283275405,90810.45003685301
Midlands,2024-12-08,81560.7323432752,82641.11902337757
Midlands,2024-12-15,90634.05819392412,82944.18854154565
Midlands,2024-12-22,83237.40953843758,86740.13811768693
Midlands,2024-12-29,93408.87159682256,88002.79049365931
Midlands,2025-01-05,102765.13524036563,91625.37086882882
Midlands,2025-01-12,102309.30097598946,95200.80738273413
Midlands,2025-01-19,94878.86746713654,96132.51319890635
Midlands,2025-01-26,89752.69631650836,93993.50367598554
Midlands,2025-02-02,91368.0521904696,91337.77787077273
Midlands,2025-02-09,80422.07860890597,92490.6209581002
Midlands,2025-02-16,115974.15730925386,91054.38702142064
Midlands,2025-02-23,79223.71189137056,95579.66358587472
Midlands,2025-03-02,84979.8629062062,89651.4935632027
Midlands,2025-03-09,81509.35323924295,86927.90273466306
Midlands,2025-03-16,86188.00922156213,87802.0461922483
Midlands,2025-03-23,88291.80189559297,92163.35530038075
Midlands,2025-03-30,81303.97273739577,96153.84569960125
Midlands,2025-04-06,102572.12460887224,97391.44606193705
Midlands,2025-04-13,102954.83211596753,104011.18165087729
Midlands,2025-04-20,97729.50169397,105277.18030146847
Midlands,2025-04-27,100160.54158119023,103666.23221882612
Midlands,2025-05-04,94872.26147831652,102251.75550231231
Midlands,2025-05-11,90144.29311857963,99211.80014913833
Midlands,2025-05-18,117021.59218586424,97072.97724537895
Midlands,2025-05-25,117307.85321723958,99794.69544716076
