Region,Week,Actual,Predicted
North East and Yorkshire,2024-11-03,85616.85526146683,84752.8988635107
North East and Yorkshire,2024-11-10,88536.97999766337,83738.7881060679
North East and Yorkshire,2024-11-17,87186.54182496066,82173.36848250956
North East and Yorkshire,2024-11-24,83424.6229159091,80007.74218892666
North East and Yorkshire,2024-12-01,58844.91767689822,77786.49408098002
North East and Yorkshire,2024-12-08,67669.22002716942,73484.1422406088
North East and Yorkshire,2024-12-15,75197.16718661385,73706.66449291361
North East and Yorkshire,2024-12-22,69060.32374551821,75595.40653442619
North East and Yorkshire,2024-12-29,77499.3713638003,76003.95640980203
North East and Yorkshire,2025-01-05,84897.14552824436,78314.72634318557
North East and Yorkshire,2025-01-12,84520.56812396237,80262.30972525729
North East and Yorkshire,2025-01-19,78382.07968171444,80480.00768753326
North East and Yorkshire,2025-01-26,74147.20666607883,78676.70807180624
North East and Yorkshire,2025-02-02,76666.27760955847,76800.13923881203
North East and Yorkshire,2025-02-09,67481.5896448676,76831.594609653
North East and Yorkshire,2025-02-16,97313.08402274654,75748.7789632294
North East and Yorkshire,2025-02-23,66476.04872282739,77542.5499812414
North East and Yorkshire,2025-03-02,71396.90627186208,73087.44062157325
North East and Yorkshire,2025-03-09,68481.11369543431,71783.80247269956
North East and Yorkshire,2025-03-16,72411.94567402455,72804.84221043249
North East and Yorkshire,2025-03-23,74179.47368862011,75611.25420218936
North East and Yorkshire,2025-03-30,68308.56067005894,78747.61263706963
North East and Yorkshire,2025-04-06,87436.38167825316,80609.48363308475
North East and Yorkshire,2025-04-13,87762.6161185469,85193.75398465485
North East and Yorkshire,2025-04-20,83308.34565359406,86804.81189181254
North East and Yorkshire,2025-04-27,85380.65654960586,86525.99792373068
North East and Yorkshire,2025-05-04,80269.01085972859,86153.39275851799
North East and Yorkshire,2025-05-11,76268.79691206265,84464.43131610686
North East and Yorkshire,2025-05-18,99008.99702002705,83671.95794119158
North East and Yorkshire,2025-05-25,99251.1952081817,83987.45151128553
