Region,Week,Actual,Predicted
North West,2024-11-03,77698.97550813743,76915.47919943526
North West,2024-11-10,80349.04598392794,74975.38719736507
North West,2024-11-17,79123.49685361194,73128.01824552874
North West,2024-11-24,75709.48165432268,70262.8196631946
North West,2024-12-01,52989.84236985987,66899.65369874095
North West,2024-12-08,60936.12573679927,60602.164722859874
North West,2024-12-15,67715.0413865394,61774.897530944414
North West,2024-12-22,62188.814493374215,65449.65209822564
North West,2024-12-29,69788.17601342725,67108.09818150206
North West,2025-01-05,78759.5481529935,71096.15895815837
North West,2025-01-12,78410.19522691649,74692.74395864048
North West,2025-01-19,72715.48578709234,75158.91715074354
North West,2025-01-26,68786.77083299766,73195.51741251256
North West,2025-02-02,70534.21027915184,70964.7805261618
North West,2025-02-09,62084.14941211517,70799.70560872521
North West,2025-02-16,89529.60474133427,68660.00186939223
North West,2025-02-23,61159.03556739872,70339.4793984318
North West,2025-03-02,64992.31934115611,63667.69071185159
North West,2025-03-09,62338.084975059326,61307.205272835636
North West,2025-03-16,65916.30566512933,62767.98346926998
North West,2025-03-23,67525.27937516118,66740.70121754627
North West,2025-03-30,62181.01064349408,70964.0325362137
North West,2025-04-06,78543.44303084882,73394.33037038632
North West,2025-04-13,78836.4969711434,79038.45474381767
North West,2025-04-20,74835.25936509285,79920.6811842787
North West,2025-04-27,76696.80063291494,78744.31462255736
North West,2025-05-04,73487.28190541874,78064.38714250602
North West,2025-05-11,69825.03607847285,76089.10267509957
North West,2025-05-18,90643.97327504444,75006.73351685704
North West,2025-05-25,90865.70874106392,76185.25632120656
