Region,Week,Actual,Predicted
South East,2024-11-03,83237.07099110691,83741.13266199976
South East,2024-11-10,86076.02868497907,80994.85580286526
South East,2024-11-17,84763.12694726544,78403.50362260875
South East,2024-11-24,81105.77337664858,75272.07982193393
South East,2024-12-01,57349.257081339296,72565.42696952856
South East,2024-12-08,65949.27224030085,66485.5560880746
South East,2024-12-15,73285.88165340578,68725.09557112242
South East,2024-12-22,67305.01829144558,73471.0629722704
South East,2024-12-29,75529.57073350847,75936.18096794724
South East,2025-01-05,86139.69585400943,79915.82985526971
South East,2025-01-12,85757.60688189491,82024.31682663562
South East,2025-01-19,79529.27583344202,81673.63638641681
South East,2025-01-26,75232.42143065363,79541.98553196303
South East,2025-02-02,76158.63305873836,77165.53273563374
South East,2025-02-09,67034.76136088133,76830.6141107805
South East,2025-02-16,96668.72696814647,74655.31898909612
South East,2025-02-23,66035.87861223384,76450.33038758872
South East,2025-03-02,70500.9684551927,69550.09691968713
South East,2025-03-09,67621.76526297211,67542.47060291207
South East,2025-03-16,71503.27044010149,68932.1988419432
South East,2025-03-23,73248.61828929509,73244.52179180419
South East,2025-03-30,67451.37755243861,78096.93631374852
South East,2025-04-06,86164.83587039438,81148.55345434454
South East,2025-04-13,86486.32603802983,86426.0631391149
South East,2025-04-20,82096.83191477903,87697.71742455944
South East,2025-04-27,84139.00617679677,86968.8831013897
South East,2025-05-04,79953.63421967294,86382.45877521436
South East,2025-05-11,75969.13709747684,83793.6354684991
South East,2025-05-18,98619.99104523034,82132.56458520002
South East,2025-05-25,98861.23763761984,83221.17231992129
