Region,Week,Actual,Predicted
South West,2024-11-03,46322.725564783126,46838.79670036434
South West,2024-11-10,47902.649708886165,45980.50582631021
South West,2024-11-17,47171.99945695536,44960.53198364066
South West,2024-11-24,45136.62526937534,43588.42964235001
South West,2024-12-01,31915.930510270267,42388.664361829644
South West,2024-12-08,36701.999243669765,39924.46526324657
South West,2024-12-15,40784.95913062256,40071.1348548647
South West,2024-12-22,37456.4971911591,40965.875162581244
South West,2024-12-29,42033.6139242783,41052.21806436008
South West,2025-01-05,47054.73741083301,42016.910362847964
South West,2025-01-12,46846.017191053084,42890.810382827854
South West,2025-01-19,43443.72421698232,42748.86044359912
South West,2025-01-26,41096.52118113159,41677.85390637433
South West,2025-02-02,42154.913045762056,40674.547062752295
South West,2025-02-09,37104.71712421482,40925.97898770343
South West,2025-02-16,53507.54886112232,40225.82262440298
South West,2025-02-23,36551.820968900814,41885.01002827596
South West,2025-03-02,39768.61089472221,39931.20181142306
South West,2025-03-09,38144.49261738201,39413.405957840565
South West,2025-03-16,40333.995434966906,39892.85172956935
South West,2025-03-23,41318.52176150431,41454.612023404174
South West,2025-03-30,38048.37929142457,43275.1743397637
South West,2025-04-06,48746.40317590232,44347.91296616588
South West,2025-04-13,48928.28119110818,47360.760030256184
South West,2025-04-20,46444.99380236313,48564.66663137685
South West,2025-04-27,47600.32183062636,48625.56584062544
South West,2025-05-04,46739.5420198388,48663.767706794504
South West,2025-05-11,44410.27240641342,48072.5498717061
South West,2025-05-18,57651.57844845648,47946.865877319375
South West,2025-05-25,57792.607125291266,49257.978917474706
