date,accident,ambulance,emergency symptoms,hospital waiting times,NHS 111,stroke,flu symptoms
30/12/2018,50,77,100,49,69,52,77
06/01/2019,69,87,72,64,61,49,72
13/01/2019,78,84,59,55,58,45,61
20/01/2019,75,83,57,39,58,49,68
27/01/2019,67,78,77,45,65,42,68
03/02/2019,63,85,61,57,71,44,85
10/02/2019,65,88,0,60,65,49,72
17/02/2019,61,86,84,56,63,47,55
24/02/2019,61,98,53,48,52,51,41
03/03/2019,56,82,51,53,43,58,34
10/03/2019,64,83,0,54,39,48,33
17/03/2019,66,81,75,60,45,52,31
24/03/2019,71,83,66,40,49,49,30
31/03/2019,65,86,56,36,47,47,30
07/04/2019,64,91,64,58,43,52,28
14/04/2019,70,78,61,46,60,53,23
21/04/2019,62,92,89,60,69,64,24
28/04/2019,60,91,82,48,51,53,19
05/05/2019,61,98,65,41,56,46,22
12/05/2019,73,100,71,42,53,55,20
19/05/2019,68,98,82,56,52,51,20
26/05/2019,82,92,60,52,52,49,19
02/06/2019,79,91,53,42,62,45,19
09/06/2019,67,92,72,48,62,46,19
16/06/2019,61,88,46,49,71,53,19
23/06/2019,65,87,0,58,61,79,17
30/06/2019,73,98,63,53,59,69,17
07/07/2019,73,97,71,57,49,55,18
14/07/2019,77,84,52,45,55,52,18
21/07/2019,70,87,75,72,58,100,16
28/07/2019,78,81,68,49,53,49,15
04/08/2019,65,78,61,51,46,44,16
11/08/2019,69,76,51,55,54,44,17
18/08/2019,70,80,86,46,57,49,17
25/08/2019,82,86,92,72,63,59,14
01/09/2019,85,89,60,48,46,47,19
08/09/2019,71,97,47,55,55,50,23
15/09/2019,75,82,55,61,78,56,29
22/09/2019,70,78,72,59,75,45,34
29/09/2019,74,79,57,56,69,48,44
06/10/2019,73,79,54,60,75,48,45
13/10/2019,79,82,78,52,67,46,42
20/10/2019,98,84,35,61,57,40,40
27/10/2019,100,71,73,49,61,46,42
03/11/2019,88,79,78,67,57,44,45
10/11/2019,89,79,56,79,64,45,49
17/11/2019,77,82,70,58,70,46,58
24/11/2019,71,79,56,82,93,44,59
01/12/2019,70,75,67,62,96,43,67
08/12/2019,72,75,62,75,91,40,84
15/12/2019,88,87,97,60,87,40,100
22/12/2019,80,66,91,73,92,39,90
29/12/2019,78,74,66,100,100,43,81
05/01/2020,88,66,41,74,5,56,41
12/01/2020,87,70,41,71,5,62,27
19/01/2020,93,64,23,65,4,60,35
26/01/2020,84,69,45,55,6,64,45
02/02/2020,93,66,30,72,5,58,44
09/02/2020,79,68,40,72,5,56,46
16/02/2020,89,70,43,59,4,52,33
23/02/2020,86,65,48,69,6,60,54
01/03/2020,83,69,72,64,19,58,72
08/03/2020,69,67,82,53,55,57,100
15/03/2020,53,61,100,42,100,53,97
22/03/2020,52,74,69,32,66,47,57
29/03/2020,43,84,59,25,36,49,37
05/04/2020,42,100,38,25,22,62,22
12/04/2020,48,73,42,23,16,52,16
19/04/2020,48,68,51,19,12,75,11
26/04/2020,43,61,42,19,11,67,11
03/05/2020,48,66,30,21,9,69,9
10/05/2020,52,59,38,21,8,61,10
17/05/2020,54,60,35,29,8,88,9
24/05/2020,59,61,29,23,8,98,7
31/05/2020,59,75,43,26,6,81,8
07/06/2020,56,69,51,29,6,57,8
14/06/2020,62,67,33,27,6,67,6
21/06/2020,64,74,30,30,5,100,6
28/06/2020,60,69,26,31,6,60,8
05/07/2020,71,70,42,30,6,60,7
12/07/2020,68,83,41,35,6,63,7
19/07/2020,74,72,31,33,6,72,8
26/07/2020,75,68,28,48,6,69,7
02/08/2020,83,64,32,38,7,76,7
09/08/2020,100,65,32,47,7,100,7
16/08/2020,85,64,34,34,6,57,10
23/08/2020,79,61,36,34,6,56,11
30/08/2020,85,63,53,54,6,58,15
06/09/2020,86,69,44,40,9,51,21
13/09/2020,90,74,43,38,9,62,30
20/09/2020,81,75,43,30,7,55,32
27/09/2020,87,80,44,39,7,56,29
04/10/2020,76,75,41,39,7,60,30
11/10/2020,81,76,54,31,7,55,31
18/10/2020,78,78,33,47,7,60,30
25/10/2020,77,73,49,34,6,57,23
01/11/2020,69,76,36,29,6,53,21
08/11/2020,69,74,35,31,6,56,22
15/11/2020,70,71,34,34,6,56,19
22/11/2020,63,61,43,23,5,56,17
29/11/2020,73,63,37,30,5,58,21
06/12/2020,81,60,31,38,5,54,25
13/12/2020,68,57,38,47,6,52,27
20/12/2020,61,55,52,30,5,52,28
27/12/2020,51,67,38,44,7,52,27
03/01/2021,61,90,71,39,68,31,67
10/01/2021,67,85,50,47,57,34,55
17/01/2021,67,86,46,36,53,33,44
24/01/2021,60,85,54,28,50,32,42
31/01/2021,57,93,47,41,48,34,39
07/02/2021,62,80,63,31,40,34,35
14/02/2021,59,80,51,32,43,37,33
21/02/2021,62,77,42,38,40,38,33
28/02/2021,57,77,41,41,36,37,28
07/03/2021,60,76,73,31,37,35,30
14/03/2021,56,85,54,40,40,40,34
21/03/2021,57,83,40,44,41,36,38
28/03/2021,64,75,75,33,45,39,34
04/04/2021,64,75,55,46,53,40,29
11/04/2021,64,85,58,60,42,40,28
18/04/2021,77,96,50,39,39,45,26
25/04/2021,70,100,73,50,37,44,25
02/05/2021,62,82,60,55,41,38,28
09/05/2021,65,85,70,67,44,40,29
16/05/2021,71,81,63,60,40,41,28
23/05/2021,77,79,72,63,43,45,31
30/05/2021,88,84,37,56,49,70,31
06/06/2021,77,88,67,73,52,52,28
13/06/2021,70,84,46,70,51,58,26
20/06/2021,73,86,48,76,55,39,33
27/06/2021,70,80,53,61,59,42,37
04/07/2021,72,81,62,67,64,36,38
11/07/2021,84,83,66,83,62,53,36
18/07/2021,88,97,62,85,68,100,30
25/07/2021,79,87,65,72,59,41,31
01/08/2021,78,98,48,69,54,40,36
08/08/2021,80,95,71,82,56,38,39
15/08/2021,78,93,61,66,60,34,40
22/08/2021,100,95,69,83,59,37,40
29/08/2021,76,85,71,78,61,35,50
05/09/2021,81,95,54,75,61,41,46
12/09/2021,83,94,33,87,61,35,58
19/09/2021,83,93,54,81,58,41,77
26/09/2021,86,91,73,73,58,36,84
03/10/2021,74,95,54,88,61,37,95
10/10/2021,78,94,64,90,66,38,100
17/10/2021,75,97,0,87,63,36,97
24/10/2021,74,93,63,82,58,32,89
31/10/2021,87,90,64,72,58,32,90
07/11/2021,72,97,44,85,61,36,84
14/11/2021,69,92,59,85,58,36,88
21/11/2021,72,80,54,76,57,36,78
28/11/2021,65,82,96,67,62,35,82
05/12/2021,64,83,96,89,60,33,92
12/12/2021,70,81,68,78,69,35,90
19/12/2021,62,66,49,70,72,31,97
26/12/2021,59,62,100,100,100,32,84
02/01/2022,58,54,76,45,78,31,21
09/01/2022,63,46,59,28,45,32,13
16/01/2022,68,42,44,29,43,33,11
23/01/2022,56,41,61,37,49,29,12
30/01/2022,62,44,64,48,48,31,12
06/02/2022,59,41,47,43,42,31,11
13/02/2022,60,38,61,47,40,32,11
20/02/2022,53,38,48,42,44,29,11
27/02/2022,54,40,44,39,43,32,12
06/03/2022,53,40,61,44,49,33,14
13/03/2022,61,45,33,41,48,39,14
20/03/2022,69,73,60,51,51,47,16
27/03/2022,64,76,63,50,50,40,15
03/04/2022,60,63,49,53,48,35,14
10/04/2022,62,49,41,49,54,36,13
17/04/2022,65,46,68,52,52,39,10
24/04/2022,59,56,50,35,42,42,9
01/05/2022,64,55,48,44,44,39,9
08/05/2022,71,45,34,46,42,41,9
15/05/2022,64,44,45,41,43,41,9
22/05/2022,59,47,45,49,43,38,9
29/05/2022,61,42,38,47,53,41,10
05/06/2022,65,45,62,61,47,38,11
12/06/2022,72,45,50,51,44,54,9
19/06/2022,70,46,41,56,48,48,10
26/06/2022,57,52,73,50,48,32,11
03/07/2022,75,44,78,49,47,38,12
10/07/2022,71,47,63,68,50,74,11
17/07/2022,71,45,42,66,44,100,9
24/07/2022,75,48,37,52,43,35,9
31/07/2022,100,43,58,53,46,36,9
07/08/2022,88,51,51,55,48,63,8
14/08/2022,72,55,71,64,44,49,7
21/08/2022,82,52,49,52,43,34,13
28/08/2022,71,48,59,50,38,31,10
04/09/2022,66,44,53,52,42,32,10
11/09/2022,63,43,46,46,38,32,11
18/09/2022,63,49,61,49,42,30,19
25/09/2022,65,42,53,52,43,31,23
02/10/2022,67,46,58,51,45,36,26
09/10/2022,65,43,58,49,45,33,25
16/10/2022,66,45,63,51,47,32,30
23/10/2022,63,44,65,58,45,33,27
30/10/2022,59,43,56,50,45,32,27
06/11/2022,59,54,47,61,47,32,25
13/11/2022,62,50,59,51,46,28,26
20/11/2022,64,39,55,40,46,30,31
27/11/2022,56,44,48,54,52,30,42
04/12/2022,59,51,92,66,82,30,51
11/12/2022,84,51,100,73,92,29,70
18/12/2022,71,100,83,78,100,30,100
25/12/2022,71,50,67,99,99,28,76
01/01/2023,77,49,69,100,78,35,53
08/01/2023,73,100,61,85,66,50,52
15/01/2023,85,70,56,55,57,47,34
22/01/2023,73,75,31,54,58,48,32
29/01/2023,76,68,38,53,63,47,36
05/02/2023,71,77,58,58,60,50,35
12/02/2023,72,60,48,60,62,48,34
19/02/2023,73,65,67,56,63,51,35
26/02/2023,74,61,57,53,55,49,29
05/03/2023,73,61,54,54,62,49,31
12/03/2023,66,59,39,57,60,49,30
19/03/2023,96,59,100,56,62,52,28
26/03/2023,78,56,52,61,58,47,25
02/04/2023,74,53,54,58,64,47,24
09/04/2023,79,56,73,65,63,53,22
16/04/2023,81,60,72,55,56,57,21
23/04/2023,88,58,98,53,57,62,21
30/04/2023,68,54,56,62,59,54,20
07/05/2023,73,60,48,59,59,59,17
14/05/2023,88,54,70,52,49,65,21
21/05/2023,82,58,55,64,56,73,19
28/05/2023,96,57,42,64,56,75,17
04/06/2023,86,63,57,51,47,78,15
11/06/2023,95,63,33,66,57,100,13
18/06/2023,87,55,43,64,52,65,14
25/06/2023,98,57,59,60,53,63,13
02/07/2023,100,55,42,61,54,56,15
09/07/2023,79,58,50,52,48,53,17
16/07/2023,72,56,61,62,46,53,26
23/07/2023,76,54,71,56,44,49,19
